target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,advanced,,15049,0,1,,,30.07007261,4.1666666667,,,7.5792349727,797
0,OTHER,elementary,,400000,0,0,1,0.4678091398,41.41490381,1.3053147691,0,0,8.60120518,799
0,OTHER,elementary,Corporate,47855,0,1,0,1.1477822581,25.645220451,0.5575492178,0,0,2.9274122315,805
0,2NDFL,elementary,,20743,0,0,0,12.663776882,53.416999775,6.7950819672,0,0,7.3813833371,806
0,OTHER,elementary,,130000,0,0,0,1.1216845878,41.356890486,0.5710382514,,,9.7020959653,808
0,OTHER,elementary,,130000,0,0,0,1.1216845878,41.356890486,0.5710382514,,,9.7020959653,809
0,OTHER,elementary,,279828,1,0,1,0.5390456989,38.402739726,4.8830975372,0,0,10.112328767,822
0,2NDFL,elementary,,22344,0,0,0,0.702016129,38.099513437,4.0109289617,0,0,12.757047683,823
0,OTHER,advanced,Corporate,245308,0,1,1,1,34.519380193,4.801571974,1,1,10.026229508,825
0,OTHER,advanced,,50000,0,0,,,37.086136687,1.2203832622,,,13.02860244,826
0,2NDFL,elementary,,,0,1,1,0.9226030466,29.424859645,0.586061831,1,1,0.7090126506,827
0,2NDFL,beginner,,,0,1,0,0.6012544803,28.61509095,1.724679991,0,0,8.4234972678,829
0,2NDFL,advanced,,9616,0,0,,,36.549524665,0.5906205554,,,10.324867131,839
0,OTHER,elementary,Corporate,42380,0,1,1,0.3041442652,45.882191781,1.9178082192,1,1,0.6516356015,840
0,OTHER,elementary,Corporate,115283,0,1,,,35.321109364,10.962205255,,,10.633438132,842
0,OTHER,elementary,Corporate,78356,0,1,1,1.0883064516,27.683060109,4.0601092896,0,0,7.3387978142,845
0,OTHER,elementary,,25000,0,0,,,30.2,1.1993113257,,,4.1205479452,848
0,OTHER,advanced,,40000,0,0,0,10.473633513,34.537375552,10.323676922,0,0,1.7949097986,851
0,2NDFL,elementary,,103318,0,0,0,56.7015681,39.764383562,3.8739726027,1,1,11.610958904,859
0,OTHER,elementary,Corporate,49038,0,1,0,1.1104614695,48.593165656,3.5792349727,0,0,3.3767272999,861
0,OTHER,elementary,,87000,0,0,0,4.8277329749,51.093712104,5.7950819672,0,0,5.7348079946,870
0,OTHER,elementary,,60000,0,0,0,1,34.40412456,0.6233026424,0,0,9.8726177109,871
0,2NDFL,beginner,,34800,0,0,,,46.60157946,2.048154802,,,1.5577438431,885
0,OTHER,elementary,,63500,0,0,5,0.4681899642,27.849562093,3.1618908601,1,1,7.6714799012,893
0,OTHER,elementary,Corporate,49013,0,1,,,30.534246575,5.5342465753,,,9.9698630137,894
0,OTHER,elementary,,39150,0,0,0,22.088956093,34.220218579,0.5956284153,0,1,8.7599446066,898
0,OTHER,advanced,Corporate,18458,0,1,0,27.987275986,55.445355191,0.8537914515,0,0,8.8291339172,900
0,OTHER,advanced,,50000,0,0,0,6.729233871,49.81369863,5.2767123288,0,0,4.5335429299,901
0,OTHER,elementary,,25000,0,0,,,25.835923348,1.0818249869,,,4.5232876712,902
0,OTHER,advanced,Corporate,45759,0,1,,,30.761643836,0.1835616438,,,7.2246575342,910
0,OTHER,advanced,Corporate,13231,0,1,1,1.8603270609,44.819904184,0.5546448087,0,0,2.5020959653,922
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,925
0,OTHER,elementary,Corporate,55423,0,1,1,0.4114247312,51.885245902,1.8212740475,0,0,6.8623699379,930
0,2NDFL,beginner,,68952,0,0,0,1.2515456989,27.029493226,1.5856576091,,,5.8459315817,931
0,OTHER,elementary,Corporate,77107,0,1,0,0.6980734767,25.037001273,2.1657683958,0,0,5.0150834643,933
0,OTHER,high,,100000,0,0,,,31.539726027,0.8575342466,,,10.567123288,937
0,OTHER,elementary,Corporate,62000,0,0,0,7.5047267025,39.975409836,9.5546298376,0,0,10.606684632,940
0,OTHER,elementary,Corporate,107807,0,1,2,0.5967741935,41.613780972,5.9699453552,0,1,8.4808743169,945
0,OTHER,elementary,Corporate,38518,0,1,1,0.4366935484,52.50127255,0.9247698181,1,1,7.3808219178,951
0,2NDFL,advanced,,84738,0,0,0,0.4100358423,35.210958904,7.4082191781,1,1,9.3353469571,961
0,OTHER,elementary,Corporate,29215,0,1,0,,25.047922749,4.0904109589,,,4.8648626394,963
0,2NDFL,elementary,,69988,0,0,1,1.3403673835,25.20894528,2.3212740475,0,0,5.1185343214,964
0,OTHER,elementary,,300000,0,0,,,55.077273748,1.2252189535,,,9.5950819672,966
0,OTHER,elementary,Corporate,89211,0,1,0,0.5014560932,27.235863463,4.2349726776,0,0,7.1701100382,972
0,OTHER,elementary,,73950,0,0,1,0.6352598566,43.40157946,0.5084287746,0,0,8.9988397335,974
0,2NDFL,elementary,,200644,0,0,0,17.434386201,34.234972678,4.4870274721,0,0,9.1034658283,977
0,2NDFL,elementary,Corporate,91538,0,1,,,50.328849465,0.3360655738,,,5.3041919305,982
0,2NDFL,advanced,,28791,0,1,0,60.989852151,51.717808219,29.849315068,0,0,6.6547945205,988
0,2NDFL,advanced,,44693,0,0,1,1.1524193548,48.74420241,0.8263941912,0,0,3.7295081967,991
0,2NDFL,elementary,,112129,0,0,0,2.508266129,29.424657534,1.8630136986,0,0,6.6383561644,996
0,OTHER,elementary,Corporate,102762,0,1,1,0.41265681,39.527322404,7.009955835,0,1,2.0291339172,997
